,nombre_app,puntaje,bigramas_caracteristicas,conteo
0,AI Dungeon,1,historias privadas,3
1,AI Dungeon,1,número limitado,1
2,AI Dungeon,1,vista artístico,1
3,AI Dungeon,1,ai torpe,1
4,AI Dungeon,1,juego basado,1
5,AI Dungeon,1,Dm decente,1
6,AI Dungeon,1,censuras excesivas reputación pública,1
7,AI Dungeon,1,publicidad obligatoria,1
8,AI Dungeon,1,privacidad inconmensurable,1
9,AI Dungeon,1,filtro inutil,1
10,AI Dungeon,1,lástima enorme,1
11,AI Dungeon,1,veces sola,1
12,AI Dungeon,1,mundo cyberpunk hacker profesional,1
13,AI Dungeon,1,numero menor,1
14,AI Dungeon,1,ideas destacables,1
15,AI Dungeon,1,aventura prediseñada,1
16,AI Dungeon,1,actualización disponible textos incongruentes,1
17,AI Dungeon,1,funciones buenas,1
18,AI Dungeon,1,texto largo,1
19,AI Dungeon,1,experiencia lamentable,1
20,AI Dungeon,2,cosas nuevas control total reino medieval,1
21,AI Dungeon,2,escena erotica,1
22,AI Dungeon,2,idioma español,1
23,AI Dungeon,2,cosas inconsistentes,1
24,AI Dungeon,2,reseña anterior aventura textual,1
25,AI Dungeon,2,personaje femenino,1
26,AI Dungeon,2,inteligencia artificial,1
27,AI Dungeon,2,Historias decentes,1
28,AI Dungeon,2,ingles pongalo,1
29,AI Dungeon,3,personaje incapacitado,1
30,AI Dungeon,3,historias aveces,1
31,AI Dungeon,3,países hispano,1
32,AI Dungeon,3,español estaria,1
33,AI Dungeon,3,Ta bueno,1
34,AI Dungeon,3,idioma español,1
35,AI Dungeon,3,votación verdadera,1
36,AI Dungeon,3,personas hispanohablantes,1
37,AI Dungeon,3,poder costearnos,1
38,AI Dungeon,3,versión web,1
39,AI Dungeon,3,cosas raras inteligencia artificial,1
40,AI Dungeon,3,personaje nuevo,1
41,AI Dungeon,3,personajes muertos razon aparente,1
42,AI Dungeon,3,idioma solo,1
43,AI Dungeon,3,idea seria hecho fantastico,1
44,AI Dungeon,3,juego increíble,1
45,AI Dungeon,3,] bueno pantalla negra,1
46,AI Dungeon,4,idioma español,2
47,AI Dungeon,4,Posibilidades infinitas,1
48,AI Dungeon,4,opción habilitada ejemplo español,1
49,AI Dungeon,4,traducción automática,1
50,AI Dungeon,4,versión gratuita,1
51,AI Dungeon,4,experiencia increíble,1
52,AI Dungeon,4,juego bueno idioma español,1
53,AI Dungeon,4,comentario,1
54,AI Dungeon,4,vercion gratuita,1
55,AI Dungeon,4,español seria,1
56,AI Dungeon,4,app ojala,1
57,AI Dungeon,4,español tambien,1
58,AI Dungeon,4,inteligencia artificial,1
59,AI Dungeon,4,npc llamado,1
60,AI Dungeon,4,español ,1
61,AI Dungeon,4,error no-relacionados,1
62,AI Dungeon,4,paquete adicional,1
63,AI Dungeon,4,sonidos acorde,1
64,AI Dungeon,4,versión anterior problema anterior juego funcional,1
65,AI Dungeon,4,aplicación recomendada,1
66,AI Dungeon,4,vez peor cosas nuevas,1
67,AI Dungeon,4,Inteligencia excelente,1
68,AI Dungeon,4,modo multijugador,1
69,AI Dungeon,4,diálogos cortados,1
70,AI Dungeon,4,aventuras épicas final feliz,1
71,AI Dungeon,4,aventura intensa,1
72,AI Dungeon,4,juego legendario,1
73,AI Dungeon,4,información específica personajes recurrentes filtro moderado,1
74,AI Dungeon,4,herramientas disponibles,1
75,AI Dungeon,5,idioma español,9
76,AI Dungeon,5,inteligencia artificial,5
77,AI Dungeon,5,cosas inesperadas,2
78,AI Dungeon,5,historias interesantes,2
79,AI Dungeon,5,obra maestra,2
80,AI Dungeon,5,cosas incoherentes,2
81,AI Dungeon,5,super genial manera fluida idea excelente,1
82,AI Dungeon,5,cosas buenas RPG normal,1
83,AI Dungeon,5,app genial,1
84,AI Dungeon,5,nivel exponencial,1
85,AI Dungeon,5,gente suelta,1
86,AI Dungeon,5,aventura divertida,1
87,AI Dungeon,5,eventos pasados,1
88,AI Dungeon,5,cosas aleatorias,1
89,AI Dungeon,5,historias sorprendente,1
90,AI Dungeon,5,idea buenisima,1
91,AI Dungeon,5,criatura ancestral,1
92,AI Dungeon,5,coherencia narrada,1
93,AI Dungeon,5,idioma español gente hispanohablante,1
94,AI Dungeon,5,dios caracteristicas,1
95,AI Dungeon,5,IA Solo,1
96,AI Dungeon,5,app increíble español seria,1
97,AI Dungeon,5,problema recurrente,1
98,AI Dungeon,5,historias originales,1
99,AI Dungeon,5,figura femenina(cualquiera muere(más común esqueletos(demasiado común super comunes,1
100,AI Dungeon,5,historia seria,1
101,AI Dungeon,5,momentos emotivos,1
102,AI Dungeon,5,acciones ilimitadas,1
103,AI Dungeon,5,relaciones sexuales historia cyberpunk,1
104,Ask AI - Chatbot con GPT,1,mensajes diarios,9
105,Ask AI - Chatbot con GPT,1,preguntas diarias,8
106,Ask AI - Chatbot con GPT,1,plan gratuito,4
107,Ask AI - Chatbot con GPT,1,inteligencia artificial,4
108,Ask AI - Chatbot con GPT,1,límite diario,3
109,Ask AI - Chatbot con GPT,1,límite gratuito,2
110,Ask AI - Chatbot con GPT,1,preguntas gratuitas,2
111,Ask AI - Chatbot con GPT,1,mensajes ,2
112,Ask AI - Chatbot con GPT,1,inteligencia artificial echos lógicos temas delicado,1
113,Ask AI - Chatbot con GPT,1,manera oficial,1
114,Ask AI - Chatbot con GPT,1,precio alto latinoamericana peor,1
115,Ask AI - Chatbot con GPT,1,mensajes diarios plan gratuito,1
116,Ask AI - Chatbot con GPT,1,mensajes diarios dinero BASURA,1
117,Ask AI - Chatbot con GPT,1,app mediocre cara increible limite diario,1
118,Ask AI - Chatbot con GPT,1,palabras dañinas,1
119,Ask AI - Chatbot con GPT,1,respuestas acertadas,1
120,Ask AI - Chatbot con GPT,1,preguntas gratos,1
121,Ask AI - Chatbot con GPT,1,basura tremenda,1
122,Ask AI - Chatbot con GPT,1,humor negro temas mundanos,1
123,Ask AI - Chatbot con GPT,1,página original,1
124,Ask AI - Chatbot con GPT,1,pago solo,1
125,Ask AI - Chatbot con GPT,1,información verdadera,1
126,Ask AI - Chatbot con GPT,1,mensajes gratuito,1
127,Ask AI - Chatbot con GPT,1,noticia reciente,1
128,Ask AI - Chatbot con GPT,1,respuestas diarias,1
129,Ask AI - Chatbot con GPT,1,proyecto original acceso directo,1
130,Ask AI - Chatbot con GPT,1,mensajes ilimitados,1
131,Ask AI - Chatbot con GPT,1,sistema operativo,1
132,Ask AI - Chatbot con GPT,1,estrella debido,1
133,Ask AI - Chatbot con GPT,2,preguntas diarias,4
134,Ask AI - Chatbot con GPT,2,versión gratuita,4
135,Ask AI - Chatbot con GPT,2,historia parecido textos literarios versión gratuita,1
136,Ask AI - Chatbot con GPT,2,motivo desinstalo,1
137,Ask AI - Chatbot con GPT,2,tema especifico,1
138,Ask AI - Chatbot con GPT,2,ensayo completos,1
139,Ask AI - Chatbot con GPT,2,preguntas sencillas manera incorrecta información errónea,1
140,Ask AI - Chatbot con GPT,2,limites seria,1
141,Ask AI - Chatbot con GPT,2,mensajes limitados,1
142,Ask AI - Chatbot con GPT,2,veces mejor,1
143,Ask AI - Chatbot con GPT,2,forma diaria preguntas diarias,1
144,Ask AI - Chatbot con GPT,2,buscador web,1
145,Ask AI - Chatbot con GPT,2,ensayos científicos,1
146,Ask AI - Chatbot con GPT,2,página oficial,1
147,Ask AI - Chatbot con GPT,2,límite diario,1
148,Ask AI - Chatbot con GPT,2,información privada,1
149,Ask AI - Chatbot con GPT,2,an agotado,1
150,Ask AI - Chatbot con GPT,2,plan gratuito,1
151,Ask AI - Chatbot con GPT,2,información actual,1
152,Ask AI - Chatbot con GPT,2,pagina original,1
153,Ask AI - Chatbot con GPT,2,informaciones erroneas final doble,1
154,Ask AI - Chatbot con GPT,2,peticiones clara respuesta anterior información correcta preguntas diarias finalización concreta,1
155,Ask AI - Chatbot con GPT,2,inteligencia artificial días gratuitos q completa,1
156,Ask AI - Chatbot con GPT,3,tema educativo preguntas diarias preguntas completas preguntas diarias,1
157,Ask AI - Chatbot con GPT,3,super buena aplicación solo,1
158,Ask AI - Chatbot con GPT,3,suscripción completa,1
159,Ask AI - Chatbot con GPT,3,servicio gratuito,1
160,Ask AI - Chatbot con GPT,3,día ,1
161,Ask AI - Chatbot con GPT,3,preguntas diarias,1
162,Ask AI - Chatbot con GPT,3,version gratuita,1
163,Ask AI - Chatbot con GPT,3,estadisticas predictivas,1
164,Ask AI - Chatbot con GPT,3,respuestas solo,1
165,Ask AI - Chatbot con GPT,3,nada gracioso,1
166,Ask AI - Chatbot con GPT,3,tareas ,1
167,Ask AI - Chatbot con GPT,3,resultados precisos,1
168,Ask AI - Chatbot con GPT,3,eventos futuros,1
169,Ask AI - Chatbot con GPT,3,forma gratuita,1
170,Ask AI - Chatbot con GPT,3,ayuda emergencia,1
171,Ask AI - Chatbot con GPT,3,humor negro,1
172,Ask AI - Chatbot con GPT,3,respuestas incorrectas,1
173,Ask AI - Chatbot con GPT,3,mundo entero,1
174,Ask AI - Chatbot con GPT,3,día siguiente,1
175,Ask AI - Chatbot con GPT,3,preguntas diarias límite diario,1
176,Ask AI - Chatbot con GPT,3,sistema digital,1
177,Ask AI - Chatbot con GPT,3,mensajes ilimitados,1
178,Ask AI - Chatbot con GPT,3,mensajes limitados,1
179,Ask AI - Chatbot con GPT,3,aplicacion util,1
180,Ask AI - Chatbot con GPT,3,historia depresiva forma brutal,1
181,Ask AI - Chatbot con GPT,3,dialogos ilimitados,1
182,Ask AI - Chatbot con GPT,3,respuestas detalladas limite diario,1
183,Ask AI - Chatbot con GPT,3,persona real,1
184,Ask AI - Chatbot con GPT,3,preguntas solo,1
185,Ask AI - Chatbot con GPT,4,versión gratuita,4
186,Ask AI - Chatbot con GPT,4,inteligencia artificial,3
187,Ask AI - Chatbot con GPT,4,preguntas ilimitadas,2
188,Ask AI - Chatbot con GPT,4,información actualizada,2
189,Ask AI - Chatbot con GPT,4,fuente real,1
190,Ask AI - Chatbot con GPT,4,trabajo práctico,1
191,Ask AI - Chatbot con GPT,4,inteligencia artificial pase completo,1
192,Ask AI - Chatbot con GPT,4,límites éticos utilidad real,1
193,Ask AI - Chatbot con GPT,4,fuente inagotable,1
194,Ask AI - Chatbot con GPT,4,temas personales,1
195,Ask AI - Chatbot con GPT,4,9.5/10 fácil manera gratuita,1
196,Ask AI - Chatbot con GPT,4,información básica,1
197,Ask AI - Chatbot con GPT,4,co fiable factor reflexivo,1
198,Ask AI - Chatbot con GPT,4,respuesta exacta,1
199,Ask AI - Chatbot con GPT,4,preguntas máximo,1
200,Ask AI - Chatbot con GPT,4,herramienta increíble,1
201,Ask AI - Chatbot con GPT,4,es debido versión gratuita,1
202,Ask AI - Chatbot con GPT,4,anuncio magnífico,1
203,Ask AI - Chatbot con GPT,4,aplicación asta,1
204,Ask AI - Chatbot con GPT,4,cosas seculares,1
205,Ask AI - Chatbot con GPT,4,trabajos rápida respuestas exactas,1
206,Ask AI - Chatbot con GPT,4,tarea sencilla,1
207,Ask AI - Chatbot con GPT,4,inteligencias artificiales conversaciones anteriores conversación anterior,1
208,Ask AI - Chatbot con GPT,4,cuento real,1
209,Ask AI - Chatbot con GPT,4,intentos diarios versión gratuita,1
210,Ask AI - Chatbot con GPT,4,lenguaje entrenado respuestas útiles aprendizaje automático,1
211,Ask AI - Chatbot con GPT,4,preguntas limitadas,1
212,Ask AI - Chatbot con GPT,4,mensajes borres,1
213,Ask AI - Chatbot con GPT,4,funciones interesantes,1
214,Ask AI - Chatbot con GPT,5,inteligencia artificial,20
215,Ask AI - Chatbot con GPT,5,super buena,9
216,Ask AI - Chatbot con GPT,5,aplicación ,7
217,Ask AI - Chatbot con GPT,5,versión gratuita,5
218,Ask AI - Chatbot con GPT,5,preguntas diarias,5
219,Ask AI - Chatbot con GPT,5,app increíble,4
220,Ask AI - Chatbot con GPT,5,aplicación excelente,4
221,Ask AI - Chatbot con GPT,5,super bueno,4
222,Ask AI - Chatbot con GPT,5,re buena,4
223,Ask AI - Chatbot con GPT,5,respuestas claras,4
224,Ask AI - Chatbot con GPT,5,super útil,3
225,Ask AI - Chatbot con GPT,5,cosas importantes,3
226,Ask AI - Chatbot con GPT,5,mensajes diarios,3
227,Ask AI - Chatbot con GPT,5,tareas escolares,3
228,Ask AI - Chatbot con GPT,5,cosas útiles,3
229,Ask AI - Chatbot con GPT,5,super recomendable,3
230,Ask AI - Chatbot con GPT,5,trabajos escolares,3
231,Ask AI - Chatbot con GPT,5,super recomendada,3
232,Ask AI - Chatbot con GPT,5,app perfecta,2
233,Ask AI - Chatbot con GPT,5,tarea rápido,2
234,Ask AI - Chatbot con GPT,5,super genial,2
235,Ask AI - Chatbot con GPT,5,problemas emocionales,2
236,Ask AI - Chatbot con GPT,5,respuestas concretas,2
237,Ask AI - Chatbot con GPT,5,respuestas correctas,2
238,Ask AI - Chatbot con GPT,5,respuestas rápidas,2
239,Ask AI - Chatbot con GPT,5,manera eficiente,2
240,Ask AI - Chatbot con GPT,5,tareas rápido,2
241,Ask AI - Chatbot con GPT,5,aplicación perfecta,2
242,Ask AI - Chatbot con GPT,5,app solo,2
243,ChatGPT powered Chat - Nova,1,versión gratuita,3
244,ChatGPT powered Chat - Nova,1,accesos ilimitados rembolso total,1
245,ChatGPT powered Chat - Nova,1,app pésima,1
246,ChatGPT powered Chat - Nova,1,versión web,1
247,ChatGPT powered Chat - Nova,1,forma ilimitada,1
248,ChatGPT powered Chat - Nova,1,límite diario,1
249,ChatGPT powered Chat - Nova,1,Publicidad engañosa,1
250,ChatGPT powered Chat - Nova,1,preguntas diarias preguntas diarias preguntas gratuitas,1
251,ChatGPT powered Chat - Nova,1,truchada comercial versión libre,1
252,ChatGPT powered Chat - Nova,1,gente imbécil,1
253,ChatGPT powered Chat - Nova,1,años atrasada,1
254,ChatGPT powered Chat - Nova,1,parte metalica,1
255,ChatGPT powered Chat - Nova,1,versión premiun,1
256,ChatGPT powered Chat - Nova,1,sitio web,1
257,ChatGPT powered Chat - Nova,1,datos bancarios,1
258,ChatGPT powered Chat - Nova,1,preguntas igual inteligencia artificial inteligencia humana,1
259,ChatGPT powered Chat - Nova,1,datos asaber,1
260,ChatGPT powered Chat - Nova,1,cosas normales,1
261,ChatGPT powered Chat - Nova,1,chatbot ai,1
262,ChatGPT powered Chat - Nova,1,empresa scarletup,1
263,ChatGPT powered Chat - Nova,1,chiste machista,1
264,ChatGPT powered Chat - Nova,1,identidad(el verdadero ladrón estafador,1
265,ChatGPT powered Chat - Nova,1,web original,1
266,ChatGPT powered Chat - Nova,1,dinero ,1
267,ChatGPT powered Chat - Nova,1,puntuación nueva,1
268,ChatGPT powered Chat - Nova,1,publicidad falsa,1
269,ChatGPT powered Chat - Nova,1,servicios útiles servicio gratuito,1
270,ChatGPT powered Chat - Nova,1,app tramposa Publicidad engañosa,1
271,ChatGPT powered Chat - Nova,1,ser humano datos privados,1
272,ChatGPT powered Chat - Nova,2,cobertura amplia,1
273,ChatGPT powered Chat - Nova,2,web oficial acceso directo versión abierta beta privada,1
274,ChatGPT powered Chat - Nova,2,conversaciones anteriores,1
275,ChatGPT powered Chat - Nova,2,información consisa estafa total,1
276,ChatGPT powered Chat - Nova,2,respuesta anterior versión pública lenguaje natural experiencia posible,1
277,ChatGPT powered Chat - Nova,2,frases inéditas,1
278,ChatGPT powered Chat - Nova,2,fecha actual,1
279,ChatGPT powered Chat - Nova,2,asique pésimo,1
280,ChatGPT powered Chat - Nova,2,modo horizontal,1
281,ChatGPT powered Chat - Nova,2,Respuestas repetidas sociedad occidental,1
282,ChatGPT powered Chat - Nova,2,respuesta inteligente,1
283,ChatGPT powered Chat - Nova,2,cuestiones referentes marcas conocidas,1
284,ChatGPT powered Chat - Nova,2,información política,1
285,ChatGPT powered Chat - Nova,2,planteo concreto,1
286,ChatGPT powered Chat - Nova,3,versión premium,2
287,ChatGPT powered Chat - Nova,3,versión gratuita créditos diarios,1
288,ChatGPT powered Chat - Nova,3,preguntas diario,1
289,ChatGPT powered Chat - Nova,3,fecha actualizada,1
290,ChatGPT powered Chat - Nova,3,resultados rápidos preguntas sencillas,1
291,ChatGPT powered Chat - Nova,3,límite d,1
292,ChatGPT powered Chat - Nova,3,respuestas certeras,1
293,ChatGPT powered Chat - Nova,3,parte ,1
294,ChatGPT powered Chat - Nova,3,mensajes diarios,1
295,ChatGPT powered Chat - Nova,3,idioma preferente,1
296,ChatGPT powered Chat - Nova,3,versión gratuita,1
297,ChatGPT powered Chat - Nova,3,fallos técnicos,1
298,ChatGPT powered Chat - Nova,3,bot conversacional tecnología accionada amigo experto compatibilidad cruzada,1
299,ChatGPT powered Chat - Nova,3,probalo mejor,1
300,ChatGPT powered Chat - Nova,4,versión gratuita,3
301,ChatGPT powered Chat - Nova,4,inteligencia artificial,2
302,ChatGPT powered Chat - Nova,4,límites osea estrellas solo historias gratuitas,1
303,ChatGPT powered Chat - Nova,4,mundo solo,1
304,ChatGPT powered Chat - Nova,4,información errónea,1
305,ChatGPT powered Chat - Nova,4,preguntas gratuitas,1
306,ChatGPT powered Chat - Nova,4,app indicada,1
307,ChatGPT powered Chat - Nova,4,resultados mínimos,1
308,ChatGPT powered Chat - Nova,4,Pago limitado,1
309,ChatGPT powered Chat - Nova,4,sesgo pro-,1
310,ChatGPT powered Chat - Nova,4,punto positivo,1
311,ChatGPT powered Chat - Nova,4,opinión concreta,1
312,ChatGPT powered Chat - Nova,4,consulta general,1
313,ChatGPT powered Chat - Nova,4,tema financiero,1
314,ChatGPT powered Chat - Nova,4,comunicación fluida,1
315,ChatGPT powered Chat - Nova,4,mut buena,1
316,ChatGPT powered Chat - Nova,4,ta súper,1
317,ChatGPT powered Chat - Nova,4,conocimiento actual,1
318,ChatGPT powered Chat - Nova,4,niña hermosa,1
319,ChatGPT powered Chat - Nova,4,aplicación dursnte,1
320,ChatGPT powered Chat - Nova,4,información política,1
321,ChatGPT powered Chat - Nova,4,super interesantes,1
322,ChatGPT powered Chat - Nova,4,app recomendable,1
323,ChatGPT powered Chat - Nova,4,aplicacion importante,1
324,ChatGPT powered Chat - Nova,4,esperiencia estavrecien,1
325,ChatGPT powered Chat - Nova,4,situaciones complejas,1
326,ChatGPT powered Chat - Nova,4,super genial,1
327,ChatGPT powered Chat - Nova,4,mundo actual,1
328,ChatGPT powered Chat - Nova,4,vida real,1
329,ChatGPT powered Chat - Nova,5,inteligencia artificial,18
330,ChatGPT powered Chat - Nova,5,aplicación genial,4
331,ChatGPT powered Chat - Nova,5,asistente virtual,3
332,ChatGPT powered Chat - Nova,5,vida diaria,3
333,ChatGPT powered Chat - Nova,5,obra maestra,3
334,ChatGPT powered Chat - Nova,5,respuestas claras,2
335,ChatGPT powered Chat - Nova,5,super bueno,2
336,ChatGPT powered Chat - Nova,5,forma rápida,2
337,ChatGPT powered Chat - Nova,5,información precisa,2
338,ChatGPT powered Chat - Nova,5,preguntas complicadas,2
339,ChatGPT powered Chat - Nova,5,aplicación increíble,2
340,ChatGPT powered Chat - Nova,5,app excelente,2
341,ChatGPT powered Chat - Nova,5,estrellas ,2
342,ChatGPT powered Chat - Nova,5,eh probado,2
343,ChatGPT powered Chat - Nova,5,cosas específicas,2
344,ChatGPT powered Chat - Nova,5,app espectacular,2
345,ChatGPT powered Chat - Nova,5,super interesante,2
346,ChatGPT powered Chat - Nova,5,manera correcta,2
347,ChatGPT powered Chat - Nova,5,preguntas adecuadas,2
